AmsterdamseCode,CbsCode,RegioNaam,GeldigeStemmen,OngeldigeBlancoStemmen,Kiesgerechtigden,Opkomst,PvdA,CDA,VVD,D66,PSP,SGP,CPN,PPR,RPF,CP,GPV,Evangelische Volkspartij,SP,DS70,Rechtse Volkspartij,Rooms Katholieke Partij Nederland,God Met Ons,NVU,Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij,Kleine Partij
11043,6,Beerta,2131,15,2390,2146,852,85,261,17,31,5,827,17,13,1,6,3,4,4,4,1,0,0,0,0
10195,889,Beesel,6006,65,8059,6071,1271,3051,1038,285,126,2,40,57,13,16,6,3,23,13,41,10,11,0,0,0
10520,107,Beilen,8721,20,9795,8741,3463,2397,1810,310,80,22,51,101,82,14,185,121,18,24,33,10,0,0,0,0
10292,890,Belfeld,2590,20,3387,2610,515,1332,476,149,35,1,11,33,0,5,0,1,8,7,9,6,2,0,0,0
10340,7,Bellingwedde,6282,35,7190,6317,3554,708,1044,164,87,8,469,39,124,11,8,29,11,9,15,2,0,0,0,0
10744,206,Bemmel,8669,39,10763,8708,1954,4244,1617,383,166,8,41,121,11,15,4,10,30,8,30,24,3,0,0,0
10734,372,Bennebroek,3735,60,4344,3795,474,1202,1505,213,78,6,30,94,34,17,8,38,9,18,4,5,0,0,0,0
11330,309,Benschop,1900,8,2116,1908,172,830,378,53,17,330,2,14,66,6,4,8,5,4,5,6,0,0,0,0
10398,490,Benthuizen,1755,11,2012,1766,319,355,461,91,17,361,7,15,100,7,7,8,2,3,2,0,0,0,0,0
10962,491,Bergambacht,3279,23,3740,3302,880,719,834,130,28,479,22,22,115,17,3,13,1,9,7,0,0,0,0,0
11281,893,Bergen (L),7386,32,9124,7418,1315,4155,1310,304,100,1,23,81,10,17,2,5,24,12,12,11,4,0,0,0
11424,373,Bergen (NH),9007,44,10432,9051,2085,2216,3407,435,305,6,97,219,42,62,9,35,19,41,18,11,0,0,0,0
11037,748,Bergen op Zoom,24469,97,31811,24566,6402,6987,8436,948,452,25,179,339,72,160,36,72,140,117,60,33,11,0,0,0
11160,749,Bergeyk,5533,23,6593,5556,812,3052,1157,207,82,3,17,107,6,11,4,9,23,6,23,11,3,0,0,0
10350,207,Bergh,10293,57,12829,10350,2472,4984,1911,358,132,20,51,133,18,19,5,18,26,22,78,45,1,0,0,0
10883,208,Bergharen,1509,4,1699,1513,225,862,275,55,31,2,2,22,5,2,3,6,8,1,5,4,1,0,0,0
10733,750,Berghem,3028,16,3760,3044,989,1153,463,167,53,0,12,21,3,5,3,2,111,6,35,4,1,0,0,0
10445,492,Bergschenhoek,4033,43,4783,4076,726,1404,1241,146,34,72,26,48,105,63,86,44,5,13,10,10,0,0,0,0
10139,493,Berkel en Rodenrijs,8803,66,10017,8869,1176,3429,2534,430,95,44,38,90,133,64,603,95,22,25,12,13,0,0,0,0
11132,751,Berkel-Enschot,5726,22,6501,5748,786,2572,1657,304,129,3,23,168,9,9,12,9,10,21,6,7,1,0,0,0
10797,494,Berkenwoude,915,0,978,915,167,156,331,49,6,144,1,13,31,3,0,6,2,4,2,0,0,0,0,0
10362,752,Berlicum,4683,24,5741,4707,1097,2147,953,219,85,1,15,70,8,7,1,6,48,10,14,2,0,0,0,0
10316,568,Bernisse,7278,24,8549,7302,2217,1657,2342,411,94,137,78,73,75,58,20,53,19,23,18,3,0,0,0,0
10442,753,Best,10255,55,13138,10310,2592,4163,2246,550,163,5,56,178,37,38,24,35,59,30,49,25,5,0,0,0
10417,209,Beuningen,9071,35,11106,9106,2200,3828,1839,518,189,10,44,207,43,24,11,13,60,18,38,22,7,0,0,0
10272,375,Beverwijk,20872,129,26278,21001,7162,5387,4653,939,744,35,791,412,154,214,58,66,67,91,56,38,0,0,0,5
11294,8,Bierum,2647,8,3017,2655,744,1128,436,95,19,11,35,38,28,5,32,52,10,7,4,3,0,0,0,0
11006,754,Bladel en Netersel,4985,27,6395,5012,801,2696,922,222,135,2,46,75,8,15,2,11,15,11,9,13,2,0,0,0
10493,376,Blaricum,6734,33,7856,6767,1287,1637,2796,436,195,11,59,128,48,27,14,29,9,30,19,9,0,0,0,0
10994,495,Bleiswijk,4607,26,5311,4633,731,1562,1535,241,41,179,27,42,117,30,26,53,6,10,6,1,0,0,0,0
10451,496,Bleskensgraaf en Hofwege,1473,8,1620,1481,244,426,264,55,7,358,5,11,68,7,12,7,2,5,2,0,0,0,0,0
10850,377,Bloemendaal,11743,81,13495,11824,1715,3134,5365,566,269,33,85,169,87,36,48,102,17,84,10,23,0,0,0,0
11091,497,Bodegraven,9672,54,11369,9726,1725,3372,2655,410,124,484,54,147,327,56,87,147,18,34,21,11,0,0,0,0
10432,755,Boekel,4795,32,5742,4827,696,2867,761,178,109,0,29,62,3,12,1,5,26,15,19,11,1,0,0,0
10865,64,Bolsward,5889,24,6929,5913,1877,2503,899,172,67,12,32,106,89,5,15,71,10,18,3,10,0,0,0,0
11307,211,Borculo,6293,24,7144,6317,2153,1759,1738,310,82,3,39,80,37,7,13,19,7,17,24,4,1,0,0,0
10448,108,Borger,8239,43,9000,8282,3993,1590,1715,285,109,3,121,109,90,8,64,91,17,25,13,6,0,0,0,0
10927,897,Born,7642,64,9522,7706,1787,3664,1229,465,130,2,69,126,7,30,3,7,17,13,22,24,47,0,0,0
10326,147,Borne,11728,37,13136,11765,3179,5303,2080,488,94,17,61,222,63,15,26,46,41,27,29,37,0,0,0,0
10043,654,Borsele,11517,28,13605,11545,2186,4336,2469,449,115,1178,52,233,229,34,61,71,13,30,39,22,0,0,0,0
10419,499,Boskoop,8097,66,9398,8163,1355,2731,2433,375,197,285,50,195,262,46,16,77,25,25,14,11,0,0,0,0
11227,756,Boxmeer,8271,31,9715,8302,1941,3997,1295,371,209,1,49,159,17,13,2,30,123,24,20,20,0,0,0,0
10083,757,Boxtel,13243,58,16756,13301,3386,4967,2699,698,318,4,66,220,17,54,14,45,636,37,51,22,9,0,0,0
11125,212,Brakel,3678,21,4304,3699,1020,905,447,103,35,929,11,20,145,9,10,10,13,9,7,3,2,0,0,0
10169,500,Brandwijk,695,1,756,696,113,254,127,20,6,121,0,7,31,1,5,3,0,3,2,2,0,0,0,0
10154,758,Breda,66031,324,88756,66355,20856,19355,16418,3170,2102,112,777,1197,176,532,66,197,339,298,218,161,57,0,0,0
11088,194,Brederwiede,7420,35,8223,7455,2183,2565,1366,263,53,48,41,72,180,5,539,61,9,13,17,5,0,0,0,0
10807,311,Breukelen,6380,27,7432,6407,1129,1855,2144,287,80,330,51,135,178,33,41,52,17,29,12,7,0,0,0,0
10232,501,Brielle,9007,23,10650,9030,2952,1635,3202,498,175,56,49,88,79,88,17,50,32,63,17,6,0,0,0,0
10289,380,Broek in Waterland,1683,14,1925,1697,458,336,595,85,71,3,37,31,23,13,0,13,3,10,5,0,0,0,0,0
10856,898,Broekhuizen,1042,5,1229,1047,140,619,205,32,26,1,3,7,3,1,0,0,2,0,2,1,0,0,0,0
10030,656,Brouwershaven,2292,10,2632,2302,871,319,710,101,18,69,18,27,36,6,83,19,4,8,3,0,0,0,0,0
11291,657,Bruinisse,2095,11,2300,2106,510,505,526,56,16,373,5,7,52,7,6,24,3,3,2,0,0,0,0,0
10798,213,Brummen,12113,47,14147,12160,5334,2554,2820,638,169,37,70,161,103,23,22,93,20,28,31,6,4,0,0,0
10533,899,Brunssum,16875,117,22209,16992,6386,5862,2214,651,313,8,356,392,88,28,67,52,191,47,27,111,82,0,0,0
10219,759,Budel,6002,31,7995,6033,1359,3058,1052,267,85,0,14,45,10,11,0,4,55,13,19,9,1,0,0,0
10820,312,Bunnik,8313,18,9297,8331,1499,2885,2572,425,222,130,41,232,94,29,19,72,30,34,17,12,0,0,0,0
11343,313,Bunschoten,9956,35,10959,9991,711,3340,1610,197,40,297,23,24,953,21,2631,45,10,9,43,2,0,0,0,0
11286,214,Buren,5515,22,6322,5537,2063,1079,1692,242,63,131,25,64,59,17,9,24,13,8,20,6,0,0,0,0
10281,381,Bussum,21259,35,26286,21294,4464,5598,7548,1250,857,146,256,260,246,101,121,123,39,151,39,57,0,0,0,3
10559,382,Callantsoog,1655,14,1828,1669,506,253,718,70,27,3,27,16,6,3,6,5,5,7,1,2,0,0,0,0
11248,502,Capelle aan den IJssel,27499,206,35453,27705,9854,3773,7684,1369,517,1720,313,239,374,590,513,170,190,126,55,12,0,0,0,0
11287,383,Castricum,13985,72,16196,14057,3198,3994,4485,845,409,9,171,512,50,67,13,83,26,81,24,18,0,0,0,0
11433,760,Chaam,2242,8,2479,2250,418,1130,472,115,28,0,8,27,5,8,4,3,5,3,11,4,1,0,0,0
10383,109,Coevorden,8353,28,9815,8381,3314,2843,1425,328,106,3,37,68,98,13,26,34,13,14,26,5,0,0,0,0
11316,314,Cothen,1365,6,1557,1371,185,702,340,49,20,28,6,12,6,2,3,3,4,1,1,3,0,0,0,0
10023,761,Cuijk en Sint Agatha,8412,42,10683,8454,2315,3252,1673,487,187,3,52,188,13,37,5,22,105,32,28,8,5,0,0,0
10342,216,Culemborg,11031,41,13276,11072,3748,2894,2561,482,196,183,161,261,97,148,23,75,92,48,41,19,2,0,0,0
11004,110,Dalen,3673,7,3969,3680,1391,728,1286,138,17,2,25,22,19,6,8,8,5,3,13,2,0,0,0,0
11007,148,Dalfsen,8986,22,9894,9008,1236,4722,1606,303,37,48,16,92,155,13,615,71,14,10,41,7,0,0,0,0
10650,65,Dantumadeel,11420,53,13107,11473,3413,4180,1367,269,91,702,69,83,748,8,239,178,15,21,34,3,0,0,0,0
10168,310,De Bilt,21006,76,24050,21082,4701,5059,7641,1183,357,264,187,420,298,83,245,324,72,107,30,35,0,0,0,0
10241,552,De Lier,5508,11,6214,5519,551,2699,1646,176,31,35,20,38,49,29,103,71,21,23,12,4,0,0,0,0
10753,135,De Wijk,3049,4,3419,3053,964,729,1060,137,28,3,15,23,15,12,25,9,5,6,17,1,0,0,0,0
10928,503,Delft,52687,184,65479,52871,18065,11589,11554,2828,2268,606,1829,1378,606,388,306,545,207,336,85,97,0,0,0,0
10976,10,Delfzijl,13948,48,17602,13996,6484,2548,2544,521,237,15,389,176,310,91,243,211,86,56,29,8,0,0,0,0
10491,768,Den Dungen,2449,7,2834,2456,522,1337,375,102,23,0,7,38,0,1,0,2,16,4,12,10,0,0,0,0
10395,159,Den Ham,8419,44,9525,8463,2020,4135,878,193,45,60,21,57,519,2,320,82,7,8,67,5,0,0,0,0
10285,400,Den Helder,34405,153,45676,34558,9928,6936,12822,1373,622,174,322,484,645,245,292,142,114,173,105,28,0,0,0,0
10245,149,Denekamp,7446,33,8251,7479,1033,4686,1226,247,53,4,19,65,10,21,11,10,18,10,20,13,0,0,0,0
10379,762,Deurne,14953,64,19378,15017,2682,7537,3056,621,263,8,147,303,12,24,4,20,75,35,102,51,13,0,0,0
10899,150,Deventer,37969,204,45802,38173,17669,7125,7197,1794,1043,80,900,881,318,179,119,254,140,114,110,46,0,0,0,0
10153,218,Didam,8933,36,10563,8969,2381,4324,1386,360,91,2,36,204,10,15,3,13,24,14,59,9,2,0,0,0
11039,384,Diemen,9074,58,11062,9132,2982,1719,2668,449,360,17,263,173,58,193,25,39,19,71,24,11,0,0,0,3
10311,151,Diepenheim,1817,7,1960,1824,691,403,547,99,22,4,8,10,5,5,0,6,8,3,4,2,0,0,0,0
10933,152,Diepenveen,6880,19,7560,6899,1528,2799,1810,348,77,10,36,90,38,10,9,69,9,11,30,6,0,0,0,0
11185,763,Diessen,2062,6,2428,2068,188,1363,340,68,23,0,10,43,0,4,0,0,7,1,3,11,1,0,0,0
10418,111,Diever,2357,3,2511,2360,888,545,655,81,38,3,18,32,25,1,22,22,5,7,12,3,0,0,0,0
11193,764,Dinteloord en Prinsenlan,3401,13,4064,3414,1050,1049,694,108,37,226,16,29,121,19,1,16,12,10,5,6,2,0,0,0
11154,219,Dinxperlo,4244,17,5289,4261,898,2184,795,117,30,6,15,50,61,1,6,53,3,11,11,2,1,0,0,0
11344,504,Dirksland,4221,38,4950,4259,1213,797,648,106,30,1141,23,30,155,11,20,6,13,9,13,6,0,0,0,0
10647,220,Dodewaard,2388,3,2746,2391,876,590,435,85,14,274,7,20,63,0,3,7,5,1,5,1,2,0,0,0
10327,221,Doesburg,5986,36,7213,6022,2499,1622,1138,233,86,13,44,88,51,19,33,35,84,14,11,11,5,0,0,0
10396,222,Doetinchem,22448,81,27346,22529,7841,6700,4895,1040,426,190,148,491,190,61,61,145,74,91,56,35,4,0,0,0
10198,66,Dokkum,7384,23,8324,7407,1578,3596,973,163,53,77,29,118,261,9,182,297,14,22,7,5,0,0,0,0
10236,660,Domburg,2826,17,2862,2843,579,820,812,104,32,249,8,30,81,12,35,40,3,10,5,6,0,0,0,0
11412,766,Dongen,11149,10,14230,11159,2766,4413,2265,701,208,18,73,164,38,33,10,37,299,75,35,11,3,0,0,0
10086,67,Doniawerstal,3846,13,4348,3859,924,1807,742,159,31,20,18,55,34,1,8,29,4,5,9,0,0,0,0,0
10213,315,Doorn,6660,29,7965,6689,1169,1736,2558,335,133,260,31,92,158,22,38,67,13,36,9,3,0,0,0,0
11157,505,Dordrecht,60198,292,78033,60490,23327,11424,14167,2478,1478,1724,969,819,1240,883,343,593,310,239,139,65,0,0,0,0
10642,498,Drechterland,4846,20,5635,4866,885,2054,1305,223,110,6,48,82,23,34,0,9,19,10,16,22,0,0,0,0
11232,224,Dreumel,1958,8,2312,1966,483,901,377,107,22,0,9,19,3,5,0,1,14,4,6,7,0,0,0,0
10777,316,Driebergen-Rijsenburg,10689,47,12411,10736,2262,2913,3421,429,202,466,81,203,242,31,108,233,14,40,27,17,0,0,0,0
10830,506,Driebruggen,2448,15,2769,2463,227,1031,624,74,17,319,5,17,77,12,3,17,5,11,9,0,0,0,0,0
10210,303,Dronten,11701,32,13507,11733,2540,3883,3231,465,132,116,124,203,393,50,246,189,40,35,42,8,4,0,0,0
10428,767,Drunen,8557,38,10389,8595,1809,3776,1930,420,145,11,70,139,17,46,7,16,56,37,61,9,8,0,0,0
10068,225,Druten,6751,33,8680,6784,2122,2662,1171,322,120,8,53,127,8,23,0,10,70,15,29,10,1,0,0,0
11237,662,Duiveland,3163,6,3637,3169,813,542,686,84,20,818,14,14,126,7,9,13,3,10,2,2,0,0,0,0
11028,226,Duiven,6194,25,7303,6219,1305,2730,1495,298,90,1,32,103,10,15,15,23,23,19,23,11,1,0,0,0
10261,769,Dussen,3448,13,4107,3461,740,1472,675,168,32,116,20,30,68,19,15,20,19,13,29,9,3,0,0,0
10331,112,Dwingeloo,2592,8,2677,2600,1070,536,745,103,30,5,17,20,28,3,8,8,3,8,8,0,0,0,0,0
10941,902,Echt,9694,118,12660,9812,2517,4227,1675,466,318,2,74,145,9,18,8,6,46,30,58,35,60,0,0,0
10832,227,Echteld,3814,10,4245,3824,1481,731,816,111,17,528,8,22,64,5,5,6,7,3,10,0,0,0,0,0
10884,385,Edam-Volendam,13155,78,15923,13233,2240,6434,3307,406,132,2,113,227,21,87,3,35,22,55,46,25,0,0,0,0
10743,228,Ede,49910,106,59157,50016,8293,15224,13297,1735,433,5782,217,813,2127,170,365,692,251,148,307,41,15,0,0,0
10622,113,Eelde,6547,15,7270,6562,2362,992,2301,425,99,7,43,120,38,9,25,54,6,49,16,1,0,0,0,0
10248,317,Eemnes,4033,9,4606,4042,765,1270,1335,215,116,51,34,65,71,15,9,41,9,20,14,3,0,0,0,0
10904,11,Eenrum,1575,6,1754,1581,846,172,302,65,33,1,29,48,7,0,61,3,6,1,0,1,0,0,0,0
10741,770,Eersel,6471,26,8022,6497,865,3313,1537,327,172,2,29,119,5,15,3,12,13,15,32,12,0,0,0,0
10421,357,Egmond,6542,45,7804,6587,1935,1977,1821,254,149,5,93,107,39,58,9,33,16,19,15,12,0,0,0,0
10436,229,Eibergen,10089,28,11337,10117,2485,4984,1626,388,141,3,51,163,37,15,18,35,69,9,32,32,1,0,0,0
10314,905,Eijsden,6044,48,7703,6092,1388,2533,1547,268,97,1,27,79,4,9,3,4,19,5,14,26,20,0,0,0
11298,772,Eindhoven,106120,565,143725,106685,30507,36502,22569,5269,3618,129,1306,2562,549,418,199,464,986,339,403,248,52,0,0,0
11113,230,Elburg,11209,25,13110,11234,1554,3304,2478,248,54,1992,36,82,1043,26,159,128,18,25,55,4,3,0,0,0
11188,231,Elst,9474,8,11794,9482,2171,3922,2156,530,209,32,65,153,36,17,16,71,46,26,13,11,0,0,0,0
11180,114,Emmen,55099,170,64914,55269,27500,14057,6824,1650,802,53,1046,599,1075,82,400,481,266,99,97,68,0,0,0,0
10729,388,Enkhuizen,9210,62,10920,9272,3160,2165,2113,417,323,173,233,103,265,53,30,86,19,35,29,6,0,0,0,0
10364,153,Enschede,81905,23,102151,81928,33176,18482,16288,3678,1532,308,1988,1325,1184,269,1881,414,800,296,200,84,0,0,0,0
10940,232,Epe,20219,72,23521,20291,6385,5415,5312,957,203,664,95,174,549,66,65,122,31,49,109,11,12,0,0,0
10732,233,Ermelo,14273,31,17024,14304,1536,5624,3967,393,120,706,53,250,861,32,357,267,22,48,26,7,4,0,0,0
10385,775,Erp,3492,9,3953,3501,382,2339,519,113,48,0,8,29,3,4,2,2,10,4,19,7,3,0,0,0
10709,776,Esch,1108,6,1240,1114,169,669,185,33,12,0,3,20,2,1,0,1,5,2,5,1,0,0,0,0
10750,777,Etten-Leur,15553,64,20276,15617,4588,5451,3569,815,348,9,113,276,41,87,9,45,57,40,68,31,6,0,0,0
10638,508,Everdingen,1168,3,1306,1171,220,355,309,47,5,120,3,11,71,6,5,8,2,1,5,0,0,0,0,0
10136,12,Ezinge,1197,4,1305,1201,462,323,242,38,27,3,22,38,11,1,18,6,1,2,2,1,0,0,0,0
